Company Name,Company Name2,Status,License,Type,License Number,Email,Phone,DBA,Adress 
"836519, 0836519",Edgefield Enterprises,Hemp,,,,,,,
"Hemp Distributor, Hemp Manufacturer",27559,Hemp,,,,,,,
"Hemp Distributor, Hemp Manufacturer",Butte Packhouse,Hemp,,,,norcalhemp@gmail.com,530-370-5533,,"2200 Encinal RdLive Oak, CA 95953"
27346,"BUDEGAS, LLC",Hemp,,,,BUDEGASBRAND@GMAIL.COM,(917) 873-7163,,"31838 Chapel Rock LnSpring, TX 77386"
"0830422, 830422",Boulder Park Industries Inc.,Hemp,,,,raypadilla1@gmail.com,832-929-1786,,"14521 Arminta StLos Angeles, CA 91402"
"Hemp Distributor, Hemp Manufacturer",27349,Hemp,,,,,,,
"Hemp Distributor, Hemp Manufacturer",Best Hands Transportation,Hemp,,,,besthandstransportation@gmail.com,980-215-4624,,"566 Stonehenge DrRock Hill, SC 29730"
45HH_2122,"BELOW RETAIL, LLC",Hemp,,,,SHONTELLTERRANCE@GMAIL.COM,(713) 240-7456,,"14518 Hempstead Rd, 4eHouston, TX 77040"
"832998, 0832998",Azaka LLC,Hemp,,,,blepage@ataloholdings.com || maudewilson9@gmail.com,859-940-6254 || 415-373-2706,,"AVF Solutions LLCWinchester, KY 40391 || 724 Lewelling Blvd, 225San Leandro, CA 94579"
27413,Astrobleme LLC,Hemp,,,,pool309@gmail.com,239-290-4045,,"3224 W Tampa Bay BlvdTampa, FL 33607"
"398900, 396456",A1 MEDICAL EQUIPMENT DELIVERIES,Ancillary,,,,l.smclendon@myself.com || BINSELMANN@AOL.COM,(210) 859-6429,,"730 Enterprises LLCVirginia Beach, VA 23452 || 12122 Stevens CtLive Oak, TX 78233"
"839703, 0839703",3RD LEVEL PRODUCTION LLC G,Hemp,,,,3RDLEVELPRODUCTIONLLC@GMAIL.COM,(832) 732-1527,,"15405 Kurt DrHumble, TX 77396"
"829868, 0829868",KLR FARMS LLC,Hemp,,,,info@klrfarms.com,(541) 550-7441,,"Philomath, OR 97370"
"Hemp Distributor, Hemp Cultivator, Seed Banks / Genetics, Hemp Manufacturer","AG-R1065940HGS, AG-R1069952HGS, AG-R1074731HGS, AG-R1065294HGS, AG-R1065396HGS, AG-R1065295HGS, AG-R1076193HGS, AG-R1065395HGS, AG-R1075162HGS, AG-R1056657AHS, AG-R1065293HGS, AG-R1063659IHH",Hemp,,,,,,,
Adams Produce Inc.,Hemp,Hemp,,,,,,,
STRUCTURE HEALTH AND WELLNESS LTD,Hemp,Pending,,,,,,,
"0836315, 82, 0837868, 1507, 836315",CBD TEXAS FARMS,Pending,,,,KIMBERLYTIJERINA@ICLOUD.COM,9567635902,,"19884 US-83Laredo, TX 78045"
"262, 0829846, 0829784, 829846, 829784, 5",Malawi Gold,Pending,,,,,,,
"Hemp Distributor, Hemp Cultivator, Hemp Brand, Cannabis Distributor, Cannabis Manufacturer, Cannabis Retailer (Delivery), Cannabis Brand, Hemp Manufacturer, Hemp Retailer (Delivery), Hemp Retailer (Storefront), Hemp Retailer (Online), Testing Laboratories",High Falls Hemp NY,Hemp,,,,Brennan@highfallshempny.com,2253372114,,"641 Berme RdHigh Falls, NY 12440"
"Hemp Distributor, Hemp Cultivator, Hemp Brand, Hemp Retailer (Online), Hemp Manufacturer, Seed Banks / Genetics, Manufacturing Goods",Lazy Moon Haze,Hemp,,,,,,,
"Hemp Distributor, Hemp Cultivator, Hemp Brand, Hemp Retailer (Storefront), Hemp Retailer (Online), Hemp Retailer (Delivery), Hemp Manufacturer, Education & Training, Medical Professionals, Seed Banks / Genetics, Social Networks, Packaging and Labels, Cannabis Brand, Cannabis Cultivator, Cannabis Distributor, Cannabis Manufacturer, Cannabis Retailer (Delivery), Cannabis Retailer (Online), Cannabis Retailer (Storefront), Consulting, Cultivation Goods, Trade Associations",Acandus,Hemp,,,,,,,
"Hemp Distributor, Hemp Cultivator, Hemp Brand",RED RIVER MANAGEMENT GROUP,Hemp,,,,,,,
"0829867, 111, 829781, 829867, 0829781",LONESTAR FARMS LLC,Hemp,,,,greg@sweetsensicbd.com,5128209804,,"15004 Cavalier Canyon Dr, cAustin, TX 78734"
"65, 0834669, 834669, 829775, 840831, 0829775",DIVINE 5 HEMP FARM LLC,Hemp,,,,,,,
"829783, 0829783, 56, 0829851, 829851",CREATE BUILD DEVELOP LLC,Hemp,,,,CREATEBUILDDEVELOP@GMAIL.COM,7133849548,,"7636 Harwin Dr., c 316Houston, TX 77036"
"277, 838147, 0838147, 0831568",VJ FARMS CO LLC,Hemp,,,,,,,
"833408, 0833408, 0829913",TEXAS HEMP VENTURES,Hemp,,,,,,,
"0829776, 0829880",TEXAS HEMP CULTURE LLC,Hemp,,,,,,,
TEJAS HEMP LLC,Hemp,Hemp,,,,,,,
ROSA BELLE FARMS,Hemp,Hemp,,,,,,,
TEXAS HEMP EXTRACTIONS,QK SOLUTIONS LLC,Hemp,,,,,,,
"0829786, 0829847",MID VALLEY AGRICULTURE LLC,Hemp,,,,,,,
"0831900, 0831905, 831905, 831900","MBS SEED, INC.",Hemp,,,,,,,
"829849, 0829755, 0829849",INCLUSIVE HEALTHCARE GROUP,Hemp,,,,OPERATIONS@INCLUSIVECLINICS.COM,(713) 498-0034,,"5302 Paisley LnHouston, TX 77096"
"831449, 0831453, 0831449, 831453",HILL COUNTRY HARVEST FARM LLC,Hemp,,,,,,,
"0829798, 0829850, 829798, 829850",GROW UP TEXAS LLC,Hemp,,,,NIKKIE@GROWUPTEXAS.COM,(512) 599-4178,,County Rd 1680TX 75455
"835788, 835789, 829925, 0835788, 0835789, 0829925, 829861, 0829861",GREENLEAF FARMS LLC,Hemp,,,,SHANERG123@GMAIL.COM,(719) 492-9121,,"3175 Green Sanders RdPollok, TX 75969"
"831572, 0831572, 0829955, 829955",FRESH WATER CREEK LLC,Hemp,,,,freshwatercreekllc@yahoo.com,903-930-4903,,"11098 FM 134Karnack, TX 75661"
"0836233, 0836416",DSPAIN BUILDERS LLC,Hemp,,,,sam@driftextracts.com || DSPAINFARMS@YAHOO.COM,303-905-5353 || (608) 963-5958 || (303) 241-8063,,"DR. FIELD'S BOTANICALS, LTDAR || Driftless Extracts LLCWI || 1435 Co Rd 765Moore, TX 78057"
"0831655, 834975, 831655, 0834975",CROWN GROW LLC,Hemp,,,,info@crowngrow.com,469-575-4367,,"651 County Rd 3728Wills Point, TX 75169"
"0834044, 0830096",BY PRESCRIPTION ONLY,Hemp,,,,JOEYJ143@GMAIL.COM,(956) 771-7999,,"7327 Mangana-Hein RdLaredo, TX 78046"
"0833671, 0837284, 850160",BTH SALES LLC,Hemp,,,,H2KREPTILES@GMAIL.COM,(979) 203-5378,,"1050 Anderson LnBrenham, TX 77833"
"0831571, 852324, 0831570, 830033, 0831573, 0830033",BOOMTOWN VAPOR LLC,Hemp,,,,BOOMTOWNSUPPLY@GMAIL.COM,(409) 550-3757,,"1520 S Major Dr, hBeaumont, TX 77707"
"0829826, 829885, 0829885, 829826",BEACHFARM HEMP,Hemp,,,,BEACHFARMHEMP@GMAIL.COM,(210) 214-2427,,"5169 Eichman RdVon Ormy, TX 78073"
"0834281, 834281, 0837196, 837196",BAYOU CITY HEMP COMPANY INC.,Hemp,,,,JSHERMAN@BAYOUCITYHEMP.COM,(901) 351-7611,,"16700 Park RowHouston, TX 77084"
"0829853, 829853, 829791, 0829791",BARTON CREEK BOTANICALS LLC,Hemp,,,,BARTONCREEKBOTANICALS@YAHOO.COM,(512) 869-9108,,"10 Cabin RdAustin, TX 78746"
ANXIETY HACKERS INTERNATIONAL LLC,Hemp,Pending,,,,,,,
"838049, 833526, 0833526, 0830625, 0838049",ALL ONE FARMS LLC,Pending,,,,ESPAIN@ALLONEFARMS.COM,(806) 685-4819,,"5524 110th StLubbock, TX 79424"
"Hemp Distributor, Hemp Cultivator, Hemp Manufacturer","0832588, 0829801, 842909",Hemp,,,,,,,
WPCP CAPITAL LLC,Hemp,Hemp,,,,,,,
WOLFE & SON'S DEMO AND MORE LLC,Hemp,Hemp,,,,,,,
WFTHC,WICHITA FALLS TEXAS HEMP COMPANY LLC,Hemp,,,,,,,
"0832969, 0830148, 0829963, 0829848",TORRES RANCHERS,Hemp,,,,,,,
"0830093, 0831696",TEXAS GREEN STAR LLC,Hemp,,,,,,,
"0829859, 0829947, 829947",TEXAS FARM AND PROCESS LLC,Hemp,,,,,,,
"0829985, 0829872",TEXAS A AND M AGRILIFE RESEARCH,Hemp,,,,,,,
"0829881, 830114, 0830114",SARON PARTNERS LP,Hemp,,,,,,,
"0830009, 830009, 0829863",RIVERSIDE HEMP LLC,Hemp,,,,,,,
"0830688, 0838641",PRIMITIVE FARMS LLC,Hemp,,,,,,,
"0829857, 0829968",PACEQUINN LLC,Hemp,,,,,,,
"Hemp Distributor, Hemp Cultivator","0836518, 0829805, 829805",Hemp,,,,,,,
"Hemp Distributor, Hemp Cultivator","0835216, 0835301",Hemp,,,,,,,
"Hemp Distributor, Hemp Cultivator",Marry Pottin's Supply LLC,Hemp,,,,,,,
Lone Wolf Genetics LLC,Hemp,Hemp,,,,,,,
"29_P00428, 29_R00427","JG LAND HOLDINGS, LLC",Hemp,,,,GSIMPSON@KAPCORP.COM,(713) 446-6493,,"912 Ranch Rd 473Comfort, TX 78013"
"847325, 0837592",HSG,Hemp,,,,,,,
"Hemp Distributor, Hemp Cultivator",Heritage Hemp,Hemp,,,,joe@heritagehemp.com,(816) 935-7906,,"119 W Kansas StLiberty, MO 64068"
"29_P00367, 29_R00366",HEMPSTEAD TEXAS HEMP,Hemp,,,,JAY@HEMPSTEADTEXASHEMP.COM,(713) 380-6055,,"43681 Harpers Church RdHempstead, TX 77445"
"0836729, 0838244","Hempire Seed, LLC",Hemp,,,,jeff.kostuik@hempproductionservices.com || hempireseedllc@gmail.com,(204) 821-0522 || (660) 334-0757,,"Hemp Genetics International Inc.WI || 10255 Otter AveWeatherby, MO 64497"
GREEN MOUNTAIN FLOWER CO LLC,Hemp,Hemp,,,,,,,
Green Leaf Goods,Hemp,Hemp,,,,,,,
"29_R00364, 29_P00365",FORTYTEXAS.COM,Hemp,,,,,,,
"0835308, 0835311",Diamond Cut Hemp,Hemp,,,,diamondcutandcore@gmail.com,8595533500,,"115 Pacer RdWilmore, KY 40390"
DELTA REMEDIES LLC,Hemp,Hemp,,,,,,,
CRAFT HERBS FARM,CRAFT HERBS,Hemp,,,,,(512) 400-1420,,"FM 1472Laredo, TX"
"0833672, 0833676",CanaMO Solutions,Hemp,,,,mgdesmond.hemp@gmail.com,(816) 830-8262,,"4441 NE Kelsey RdKCMO, MO 64116"
Page 8 of 37,BAMI LLC,Pending,,,,,,,
"0830058, 0829874, 0832964",AIRMID HEMP EXTRACTS,Verified,,,,,(972) 670-5947,,"800 E Arapaho Rd, 114Richardson, TX 75081"
Benessere,Pending,Hemp,,,,,,,
SAS International L.L.C.,Verified,Hemp,,,,,,,
"CDPH-10004208, 2020-N-1844419",ZUMA AND SONS DISTRIBUTORS CORP,Hemp,,,,carlos@zumaandsons.com,305-887-0089,,"10800 NW 100th StMedley, FL 33178"
381258,Zelle Hemp Company,Hemp,,,,,,,
396084,YUKING INTERNATIONAL FOOD GROUP,Hemp,,,,,,,
378690,YOUNG BLACK MILLIONAIRES LLC,Hemp,,,,,,,
0830774,YOBI LABS,Hemp,,,,,,,
394505,XPRESSION OF AWARENESS INC,Hemp,,,,,,,
392451,Xpedite Partners Ltd,Hemp,,,,,,,
003HKC,WPS Distribution LLC,Hemp,,,,,,,
396959,WLD Ag Solutions,Hemp,,,,,,,
Wild West Munchies,Hemp,Hemp,,,,,,,
391700,"WILDSEED HEMP, LLC.",Hemp,,,,,,,
Hemp Distributor,0836056,Hemp,,,,,,,
Hemp Distributor,WI Hemp Distributor 0003,Hemp,,,,,,,
Roshambo Enterprises,Whiskey Sisters Supply,Hemp,,,,,,,
001PQB,West Worldwide LLC,Pending,,,,,,,
Hemp Distributor,003HD3,Hemp,,,,,,,
Hemp Distributor,390708,Hemp,,,,,,,
Hemp Distributor,269425,Hemp,,,,,,,
Hemp Distributor,WALMART DISTRIBUTION CENTER,Hemp,,,,,,,
"278246, 299735, 311327, 383929, 389599, 389598, 59101",WAKE UP AMERICA,Hemp,,,,,,,
335928,VPR BRANDS,Hemp,,,,,,,
392884,VITAMIN DISCOUNT CENTER WAREHOUSE,Hemp,,,,,,,
465120,"Virag Distribution, LLC",Hemp,,,,,,,
Vinilus,Hemp,Hemp,,,,,,,
394681,Verum Botanical,Hemp,,,,,,,
003J9M,Vermont Hemp Storage,Hemp,,,,,,,
VA Hemp Distributor 0047,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0046,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0045,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0044,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0043,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0042,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0041,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0040,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0039,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0038,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0037,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0036,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0035,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0034,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0033,Hemp,Hemp,,,,,,,
VA Hemp Distributor 0032,Hemp,Hemp,,,,,,,
Hemp Distributor,US Crop Drying LLC,Pending,,,,,,,
Hemp Distributor,usa vape wholesale,Hemp,,,,,,,
399992,Hammer's HealTHCare,Hemp,,,,,,,
Hemp Distributor,UNO HEALTHCARE INC,Hemp,,,,,,,
395816,UNITED WHOLESALE DISTRIBUTORS OF MELBOURNE,Hemp,,,,,,,
307160,UNITED WHOLESALE DISTRIBUTORS INC,Hemp,,,,,,,
278012,UNITED WHOLESALE DISTRIBUTION,Hemp,,,,,,,
316927,United Sacrament Organization Corp,Hemp,,,,,,,
394850,Unique Brokerage & Consulting,Hemp,,,,,,,
Hemp Distributor,27409,Hemp,,,,,,,
Hemp Distributor,27341,Hemp,,,,,,,
Hemp Distributor,TX Hemp Distributor 2020 0075,Hemp,,,,,,,
0839800,TX Hemp Distributor 2020 0074,Hemp,,,,,,,
0832409,TX Hemp Distributor 2020 0073,Hemp,,,,,,,
0829896,TX Hemp Distributor 2020 0072,Hemp,,,,,,,
0838238,TX Hemp Distributor 2020 0071,Hemp,,,,,,,
0839320,TX Hemp Distributor 2020 0070,Hemp,,,,,,,
0829897,TX Hemp Distributor 2020 0069,Hemp,,,,,,,
0833099,TX Hemp Distributor 2020 0068,Hemp,,,,,,,
0832163,TX Hemp Distributor 2020 0067,Hemp,,,,,,,
0833741,TX Hemp Distributor 2020 0066,Hemp,,,,,,,
0835886,TX Hemp Distributor 2020 0065,Hemp,,,,,,,
0833739,TX Hemp Distributor 2020 0064,Hemp,,,,,,,
0829899,TX Hemp Distributor 2020 0063,Hemp,,,,,,,
0837006,TX Hemp Distributor 2020 0062,Hemp,,,,,,,
0832971,TX Hemp Distributor 2020 0061,Hemp,,,,,,,
0836805,TX Hemp Distributor 2020 0060,Hemp,,,,,,,
0833857,TX Hemp Distributor 2020 0059,Hemp,,,,,,,
0832985,TX Hemp Distributor 2020 0058,Hemp,,,,,,,
0831096,TX Hemp Distributor 2020 0057,Hemp,,,,,,,
0833858,TX Hemp Distributor 2020 0056,Hemp,,,,,,,
0836418,TX Hemp Distributor 2020 0055,Hemp,,,,,,,
0829898,TX Hemp Distributor 2020 0054,Hemp,,,,,,,
0832134,TX Hemp Distributor 2020 0053,Hemp,,,,,,,
0830552,TX Hemp Distributor 2020 0052,Hemp,,,,,,,
0838462,TX Hemp Distributor 2020 0051,Hemp,,,,,,,
0839385,TX Hemp Distributor 2020 0050,Hemp,,,,,,,
0829895,TX Hemp Distributor 2020 0049,Hemp,,,,,,,
0838051,TX Hemp Distributor 2020 0048,Hemp,,,,,,,
0836238,TX Hemp Distributor 2020 0047,Hemp,,,,,,,
0838237,TX Hemp Distributor 2020 0046,Hemp,,,,,,,
0839156,TX Hemp Distributor 2020 0045,Hemp,,,,,,,
0839704,TX Hemp Distributor 2020 0044,Hemp,,,,,,,
0832590,TX Hemp Distributor 2020 0043,Hemp,,,,,,,
0838245,TX Hemp Distributor 2020 0042,Hemp,,,,,,,
0838154,TX Hemp Distributor 2020 0041,Hemp,,,,,,,
0837946,TX Hemp Distributor 2020 0040,Hemp,,,,,,,
0834045,TX Hemp Distributor 2020 0039,Hemp,,,,,,,
Page 8 of 37,BAMI LLC,Pending,,,,,,,
"0830058, 0829874, 0832964",AIRMID HEMP EXTRACTS,Verified,,,,,(972) 670-5947,,"800 E Arapaho Rd, 114Richardson, TX 75081"
"CDPH-10004208, 2020-N-1844419",ZUMA AND SONS DISTRIBUTORS CORP,Hemp,,,,carlos@zumaandsons.com,305-887-0089,,"10800 NW 100th StMedley, FL 33178"
381258,Zelle Hemp Company,Hemp,,,,,,,
396084,YUKING INTERNATIONAL FOOD GROUP,Hemp,,,,,,,
378690,YOUNG BLACK MILLIONAIRES LLC,Hemp,,,,,,,
0830774,YOBI LABS,Hemp,,,,,,,
394505,XPRESSION OF AWARENESS INC,Hemp,,,,,,,
392451,Xpedite Partners Ltd,Hemp,,,,,,,
003HKC,WPS Distribution LLC,Hemp,,,,,,,
396959,WLD Ag Solutions,Hemp,,,,,,,
391700,"WILDSEED HEMP, LLC.",Hemp,,,,,,,
Hemp Distributor,0836056,Hemp,,,,,,,
Roshambo Enterprises,Whiskey Sisters Supply,Hemp,,,,,,,
001PQB,West Worldwide LLC,Pending,,,,,,,
"278246, 299735, 311327, 383929, 389599, 389598, 59101",WAKE UP AMERICA,Hemp,,,,,,,
335928,VPR BRANDS,Hemp,,,,,,,
392884,VITAMIN DISCOUNT CENTER WAREHOUSE,Hemp,,,,,,,
465120,"Virag Distribution, LLC",Hemp,,,,,,,
394681,Verum Botanical,Hemp,,,,,,,
003J9M,Vermont Hemp Storage,Hemp,,,,,,,
399992,Hammer's HealTHCare,Hemp,,,,,,,
395816,UNITED WHOLESALE DISTRIBUTORS OF MELBOURNE,Hemp,,,,,,,
307160,UNITED WHOLESALE DISTRIBUTORS INC,Hemp,,,,,,,
278012,UNITED WHOLESALE DISTRIBUTION,Hemp,,,,,,,
316927,United Sacrament Organization Corp,Hemp,,,,,,,
394850,Unique Brokerage & Consulting,Hemp,,,,,,,
0839800,TX Hemp Distributor 2020 0074,Hemp,,,,,,,
0832409,TX Hemp Distributor 2020 0073,Hemp,,,,,,,
0829896,TX Hemp Distributor 2020 0072,Hemp,,,,,,,
0838238,TX Hemp Distributor 2020 0071,Hemp,,,,,,,
0839320,TX Hemp Distributor 2020 0070,Hemp,,,,,,,
0829897,TX Hemp Distributor 2020 0069,Hemp,,,,,,,
0833099,TX Hemp Distributor 2020 0068,Hemp,,,,,,,
0832163,TX Hemp Distributor 2020 0067,Hemp,,,,,,,
0833741,TX Hemp Distributor 2020 0066,Hemp,,,,,,,
0835886,TX Hemp Distributor 2020 0065,Hemp,,,,,,,
0833739,TX Hemp Distributor 2020 0064,Hemp,,,,,,,
0829899,TX Hemp Distributor 2020 0063,Hemp,,,,,,,
0837006,TX Hemp Distributor 2020 0062,Hemp,,,,,,,
0832971,TX Hemp Distributor 2020 0061,Hemp,,,,,,,
0836805,TX Hemp Distributor 2020 0060,Hemp,,,,,,,
0833857,TX Hemp Distributor 2020 0059,Hemp,,,,,,,
0832985,TX Hemp Distributor 2020 0058,Hemp,,,,,,,
0831096,TX Hemp Distributor 2020 0057,Hemp,,,,,,,
0833858,TX Hemp Distributor 2020 0056,Hemp,,,,,,,
0836418,TX Hemp Distributor 2020 0055,Hemp,,,,,,,
0829898,TX Hemp Distributor 2020 0054,Hemp,,,,,,,
0832134,TX Hemp Distributor 2020 0053,Hemp,,,,,,,
0830552,TX Hemp Distributor 2020 0052,Hemp,,,,,,,
0838462,TX Hemp Distributor 2020 0051,Hemp,,,,,,,
0839385,TX Hemp Distributor 2020 0050,Hemp,,,,,,,
0829895,TX Hemp Distributor 2020 0049,Hemp,,,,,,,
0838051,TX Hemp Distributor 2020 0048,Hemp,,,,,,,
0836238,TX Hemp Distributor 2020 0047,Hemp,,,,,,,
0838237,TX Hemp Distributor 2020 0046,Hemp,,,,,,,
0839156,TX Hemp Distributor 2020 0045,Hemp,,,,,,,
0839704,TX Hemp Distributor 2020 0044,Hemp,,,,,,,
0832590,TX Hemp Distributor 2020 0043,Hemp,,,,,,,
0838245,TX Hemp Distributor 2020 0042,Hemp,,,,,,,
0838154,TX Hemp Distributor 2020 0041,Hemp,,,,,,,
0837946,TX Hemp Distributor 2020 0040,Hemp,,,,,,,
0834045,TX Hemp Distributor 2020 0039,Hemp,,,,,,,
Page 9 of 37,TX Hemp Distributor 2020 0036,Hemp,,,,,,,
0832825,TX Hemp Distributor 2020 0035,Hemp,,,,,,,
0831910,TX Hemp Distributor 2020 0034,Hemp,,,,,,,
0832162,TX Hemp Distributor 2020 0033,Hemp,,,,,,,
0837694,TX Hemp Distributor 2020 0032,Hemp,,,,,,,
0829904,TX Hemp Distributor 2020 0031,Hemp,,,,,,,
0838379,TX Hemp Distributor 2020 0030,Hemp,,,,,,,
0836890,TX Hemp Distributor 2020 0029,Hemp,,,,,,,
0831452,TX Hemp Distributor 2020 0028,Hemp,,,,,,,
0836338,TX Hemp Distributor 2020 0027,Hemp,,,,,,,
0836419,TX Hemp Distributor 2020 0026,Hemp,,,,,,,
0835218,TX Hemp Distributor 2020 0025,Hemp,,,,,,,
0836316,TX Hemp Distributor 2020 0024,Hemp,,,,,,,
0834138,TX Hemp Distributor 2020 0023,Hemp,,,,,,,
0836237,TX Hemp Distributor 2020 0022,Hemp,,,,,,,
0836058,TX Hemp Distributor 2020 0021,Hemp,,,,,,,
0839705,TX Hemp Distributor 2020 0020,Hemp,,,,,,,
0831909,TX Hemp Distributor 2020 0019,Hemp,,,,,,,
0839619,TX Hemp Distributor 2020 0018,Hemp,,,,,,,
0838233,TX Hemp Distributor 2020 0017,Hemp,,,,,,,
0831769,TX Hemp Distributor 2020 0016,Hemp,,,,,,,
0836520,TX Hemp Distributor 2020 0015,Hemp,,,,,,,
0836144,TX Hemp Distributor 2020 0014,Hemp,,,,,,,
0829894,TX Hemp Distributor 2020 0013,Hemp,,,,,,,
0831770,TX Hemp Distributor 2020 0012,Hemp,,,,,,,
0833100,TX Hemp Distributor 2020 0011,Hemp,,,,,,,
0829858,TX Hemp Distributor 2020 0010,Hemp,,,,,,,
0829892,TX Hemp Distributor 2020 0009,Hemp,,,,,,,
0833677,TX Hemp Distributor 2020 0008,Hemp,,,,,,,
0829901,TX Hemp Distributor 2020 0007,Hemp,,,,,,,
0830551,TX Hemp Distributor 2020 0006,Hemp,,,,,,,
0834976,TX Hemp Distributor 2020 0005,Hemp,,,,,,,
0829889,TX Hemp Distributor 2020 0004,Hemp,,,,,,,
0839027,TX Hemp Distributor 2020 0003,Hemp,,,,,,,
0829903,TX Hemp Distributor 2020 0002,Hemp,,,,,,,
003HW5,TROYER'S OF SOUTH FLORIDA,Hemp,,,,,,,
351987,TROPICAL DELIGHT DAQUIRIS INC,Hemp,,,,,,,
101223,TROPICAL BOTTLING CORP,Hemp,,,,,,,
381849,"Trinity Advance Service, LLC",Hemp,,,,,,,
003DF2,TOSS IT UP,Hemp,,,,,,,
22_1100003,"The Reliable Company, LLC",Hemp,,,,,,,
394421,"Therapeutic ReLeaf, LLC",Hemp,,,,,,,
391736,THE GARDEN OF HEMPS,Hemp,,,,,,,
0837751,The Fulfillment Alliance,Hemp,,,,,,,
391182,THE C STORE DEPOT,Hemp,,,,,,,
359384,The Colorado Connect LLC,Hemp,,,,,,,
003HBH,TEXAS SAVAGE HEMP DISTRIBUTION LLC,Hemp,,,,,,,
0829877,"TEXAGON, LLC",Hemp,,,,,,,
0838830,TAJ WHOLESALE,Hemp,,,,,,,
399032,TADA FARMS,Hemp,,,,,,,
399065,SYSCO SOUTHEAST FLORIDA LLC,Hemp,,,,,,,
251556,SYSCO JACKSONVILLE INC,Hemp,,,,,,,
390871,SUNSHINE NOVELTY,Hemp,,,,,,,
394715,SUNSET NOVELTIES INC,Hemp,,,,,,,
391584,"Sunflora, LLC",Hemp,,,,,,,
392161,STONE COLD HEMP,Hemp,,,,,,,
0834784,"Stoked, LLC",Hemp,,,,,,,
"392032, 392101",Stoked LLC,Hemp,,,,,,,
0037X4,SOUTHERN WINE AND SPIRITS OF FLORIDA,Hemp,,,,,,,
329333,SOUTHERN WHOLESALE OF FLORIDA LLC,Hemp,,,,,,,
393696,SOUTHERN EAGLE DISTRIBUTING,Hemp,,,,,,,
268758,SOUTHEAST WHOLESALE FOODS LLC,Hemp,,,,,,,
385865,SOUTHEAST TOBACCO DISTRIBUTORS INC,Hemp,,,,,,,
383803,"SOL CANYON, LLC",Hemp,,,,,,,
0829887,Solarvit Natural LLC,Hemp,,,,,,,
Page 9 of 37,TX Hemp Distributor 2020 0036,Hemp,,,,,,,
0832825,TX Hemp Distributor 2020 0035,Hemp,,,,,,,
0831910,TX Hemp Distributor 2020 0034,Hemp,,,,,,,
0832162,TX Hemp Distributor 2020 0033,Hemp,,,,,,,
0837694,TX Hemp Distributor 2020 0032,Hemp,,,,,,,
0829904,TX Hemp Distributor 2020 0031,Hemp,,,,,,,
0838379,TX Hemp Distributor 2020 0030,Hemp,,,,,,,
0836890,TX Hemp Distributor 2020 0029,Hemp,,,,,,,
0831452,TX Hemp Distributor 2020 0028,Hemp,,,,,,,
0836338,TX Hemp Distributor 2020 0027,Hemp,,,,,,,
0836419,TX Hemp Distributor 2020 0026,Hemp,,,,,,,
0835218,TX Hemp Distributor 2020 0025,Hemp,,,,,,,
0836316,TX Hemp Distributor 2020 0024,Hemp,,,,,,,
0834138,TX Hemp Distributor 2020 0023,Hemp,,,,,,,
0836237,TX Hemp Distributor 2020 0022,Hemp,,,,,,,
0836058,TX Hemp Distributor 2020 0021,Hemp,,,,,,,
0839705,TX Hemp Distributor 2020 0020,Hemp,,,,,,,
0831909,TX Hemp Distributor 2020 0019,Hemp,,,,,,,
0839619,TX Hemp Distributor 2020 0018,Hemp,,,,,,,
0838233,TX Hemp Distributor 2020 0017,Hemp,,,,,,,
0831769,TX Hemp Distributor 2020 0016,Hemp,,,,,,,
0836520,TX Hemp Distributor 2020 0015,Hemp,,,,,,,
0836144,TX Hemp Distributor 2020 0014,Hemp,,,,,,,
0829894,TX Hemp Distributor 2020 0013,Hemp,,,,,,,
0831770,TX Hemp Distributor 2020 0012,Hemp,,,,,,,
0833100,TX Hemp Distributor 2020 0011,Hemp,,,,,,,
0829858,TX Hemp Distributor 2020 0010,Hemp,,,,,,,
0829892,TX Hemp Distributor 2020 0009,Hemp,,,,,,,
0833677,TX Hemp Distributor 2020 0008,Hemp,,,,,,,
0829901,TX Hemp Distributor 2020 0007,Hemp,,,,,,,
0830551,TX Hemp Distributor 2020 0006,Hemp,,,,,,,
0834976,TX Hemp Distributor 2020 0005,Hemp,,,,,,,
0829889,TX Hemp Distributor 2020 0004,Hemp,,,,,,,
0839027,TX Hemp Distributor 2020 0003,Hemp,,,,,,,
0829903,TX Hemp Distributor 2020 0002,Hemp,,,,,,,
003HW5,TROYER'S OF SOUTH FLORIDA,Hemp,,,,,,,
351987,TROPICAL DELIGHT DAQUIRIS INC,Hemp,,,,,,,
101223,TROPICAL BOTTLING CORP,Hemp,,,,,,,
381849,"Trinity Advance Service, LLC",Hemp,,,,,,,
