Company Name,Company Name2,Email,Phone,Status,DBA,License,Type,License Number,Address
STRUCTURE HEALTH AND WELLNESS LTD,Hemp,,,Pending,,,Hemp Distributor  Hemp Cultivator  Hemp Brand  Cannabis Distributor  Cannabis Manufacturer  Cannabis Retailer (Delivery)  Cannabis Brand  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Retailer (Storefront)  Hemp Retailer (Online)  Testing Laboratories,High Falls Hemp NY,
0836315  82  0837868  1507  836315,CBD TEXAS FARMS,,,Pending,,,Hemp Distributor  Hemp Cultivator  Hemp Brand  Hemp Retailer (Online)  Hemp Manufacturer  Seed Banks / Genetics  Manufacturing Goods,Lazy Moon Haze,
262  0829846  0829784  829846  829784  5,Malawi Gold,,,Pending,,,Hemp Distributor  Hemp Cultivator  Hemp Brand  Hemp Retailer (Storefront)  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Hemp Manufacturer  Education & Training  Medical Professionals  Seed Banks / Genetics  Social Networks  Packaging and Labels  Cannabis Brand  Cannabis Cultivator  Cannabis Distributor  Cannabis Manufacturer  Cannabis Retailer (Delivery)  Cannabis Retailer (Online)  Cannabis Retailer (Storefront)  Consulting  Cultivation Goods  Trade Associations,Acandus,
Hemp Distributor  Hemp Cultivator  Hemp Brand  Cannabis Distributor  Cannabis Manufacturer  Cannabis Retailer (Delivery)  Cannabis Brand  Hemp Manufacturer  Hemp Retailer (Delivery)  Hemp Retailer (Storefront)  Hemp Retailer (Online)  Testing Laboratories,High Falls Hemp NY,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Brand,RED RIVER MANAGEMENT GROUP,
Hemp Distributor  Hemp Cultivator  Hemp Brand  Hemp Retailer (Online)  Hemp Manufacturer  Seed Banks / Genetics  Manufacturing Goods,Lazy Moon Haze,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer  Hemp Retailer (Storefront),0829867  111  829781  829867  0829781,
Hemp Distributor  Hemp Cultivator  Hemp Brand  Hemp Retailer (Storefront)  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Hemp Manufacturer  Education & Training  Medical Professionals  Seed Banks / Genetics  Social Networks  Packaging and Labels  Cannabis Brand  Cannabis Cultivator  Cannabis Distributor  Cannabis Manufacturer  Cannabis Retailer (Delivery)  Cannabis Retailer (Online)  Cannabis Retailer (Storefront)  Consulting  Cultivation Goods  Trade Associations,Acandus,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer  Hemp Retailer (Storefront),65  0834669  834669  829775  840831  0829775,
Hemp Distributor  Hemp Cultivator  Hemp Brand,RED RIVER MANAGEMENT GROUP,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer  Hemp Retailer (Storefront),829783  0829783  56  0829851  829851,
0829867  111  829781  829867  0829781,LONESTAR FARMS LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer  Hemp Retailer (Storefront),277  838147  0838147  0831568,
65  0834669  834669  829775  840831  0829775,DIVINE 5 HEMP FARM LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,833408  0833408  0829913,
829783  0829783  56  0829851  829851,CREATE BUILD DEVELOP LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0829776  0829880,
277  838147  0838147  0831568,VJ FARMS CO LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0830036  830036  0829865  829865,
833408  0833408  0829913,TEXAS HEMP VENTURES,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,832131  831768  0832131  0831768,
0829776  0829880,TEXAS HEMP CULTURE LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0836337  0837354  836337,
TEJAS HEMP LLC,Hemp,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0829786  0829847,
ROSA BELLE FARMS,Hemp,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0831900  0831905  831905  831900,
TEXAS HEMP EXTRACTIONS,QK SOLUTIONS LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,829849  0829755  0829849,
0829786  0829847,MID VALLEY AGRICULTURE LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,831449  0831453  0831449  831453,
0831900  0831905  831905  831900,MBS SEED  INC.,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0829798  0829850  829798  829850,
829849  0829755  0829849,INCLUSIVE HEALTHCARE GROUP,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,835788  835789  829925  0835788  0835789  0829925  829861  0829861,
831449  0831453  0831449  831453,HILL COUNTRY HARVEST FARM LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,831572  0831572  0829955  829955,
0829798  0829850  829798  829850,GROW UP TEXAS LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0836233  0836416,
835788  835789  829925  0835788  0835789  0829925  829861  0829861,GREENLEAF FARMS LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0831655  834975  831655  0834975,
831572  0831572  0829955  829955,FRESH WATER CREEK LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0834044  0830096,
0836233  0836416,DSPAIN BUILDERS LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0833671  0837284  850160,
0831655  834975  831655  0834975,CROWN GROW LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0831571  852324  0831570  830033  0831573  0830033,
0834044  0830096,BY PRESCRIPTION ONLY,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0829826  829885  0829885  829826,
0833671  0837284  850160,BTH SALES LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0834281  834281  0837196  837196,
0831571  852324  0831570  830033  0831573  0830033,BOOMTOWN VAPOR LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0829853  829853  829791  0829791,
0829826  829885  0829885  829826,BEACHFARM HEMP,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,837503  0837503  0838148,
0834281  834281  0837196  837196,BAYOU CITY HEMP COMPANY INC.,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,838049  833526  0833526  0830625  0838049,
0829853  829853  829791  0829791,BARTON CREEK BOTANICALS LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0832588  0829801  842909,
ANXIETY HACKERS INTERNATIONAL LLC,Hemp,justin@ancient-aromas.com KOLTON@KROTTINGER.COM,859-429-0379,Pending,,,Hemp Distributor  Hemp Cultivator  Cannabis Cultivator  Cannabis Distributor  Hemp Manufacturer  Cannabis Manufacturer,Berry Family Farms LLC,Ancient Aromas Lexington  KY Ancient Aromas™ APOLLO FARMS LLC 10 O Hare Cir The Colony  TX 75056 Apollo LLC Aponte Investments
838049  833526  0833526  0830625  0838049,ALL ONE FARMS LLC,,,Pending,,,Hemp Distributor  Hemp Cultivator  Cannabis Cultivator,WPCP CAPITAL LLC,
Hemp Distributor  Hemp Cultivator  Hemp Manufacturer,0832588  0829801  842909,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0831230  0834646  0834647,
WPCP CAPITAL LLC,Hemp,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0832969  0830148  0829963  0829848,
WOLFE & SON'S DEMO AND MORE LLC,Hemp,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0830093  0831696,
WFTHC,WICHITA FALLS TEXAS HEMP COMPANY LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0829859  0829947  829947,
0832969  0830148  0829963  0829848,TORRES RANCHERS,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0829985  0829872,
0830093  0831696,TEXAS GREEN STAR LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0829881  830114  0830114,
0829859  0829947  829947,TEXAS FARM AND PROCESS LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0830009  830009  0829863,
0829985  0829872,TEXAS A AND M AGRILIFE RESEARCH,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0830688  0838641,
0829881  830114  0830114,SARON PARTNERS LP,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0829857  0829968,
0830009  830009  0829863,RIVERSIDE HEMP LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0836518  0829805  829805,
0830688  0838641,PRIMITIVE FARMS LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0835216  0835301,
0829857  0829968,PACEQUINN LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator,Marry Pottin's Supply LLC,
Hemp Distributor  Hemp Cultivator,0836518  0829805  829805,,,Hemp,,,Hemp Distributor  Hemp Cultivator,847325  0837592,
Lone Wolf Genetics LLC,Hemp,elizabeth@locofooddistribution.com toddmockler@gmail.com,9704933663,Hemp,,,Hemp Distributor  Hemp Cultivator,Heritage Hemp,128 Racquette Dr Fort Collins  CO 80524 Loud Associates  Inc. 11721 Northline Industrial Dr Maryland Heights  MO 63043
29_P00428  29_R00427,JG LAND HOLDINGS  LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator,29_P00367  29_R00366,
847325  0837592,HSG,,,Hemp,,,Hemp Distributor  Hemp Cultivator,29_P00404  29_R00408,
29_P00367  29_R00366,HEMPSTEAD TEXAS HEMP,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0833307  0829982,
0836729  0838244,Hempire Seed  LLC,,,Hemp,,,Hemp Distributor  Hemp Cultivator,29_R00364  29_P00365,
GREEN MOUNTAIN FLOWER CO LLC,Hemp,phil@greenlifeperformance.com GREENMOUNTAINFLOWER@GMAIL.COM,,Hemp,,,Hemp Distributor  Hemp Cultivator,0835308  0835311,Green Life Performance LLC WI GREEN RELIEF BOTANICALS LLC 1106 Riviera Dr Cedar Park  TX 78613
Green Leaf Goods,Hemp,jamesridgley@greengrassacres.com greenleafgoods1@gmail.com,4706453669,Hemp,,,Hemp Distributor  Hemp Cultivator,DELTA REMEDIES LLC,GREEN GRASS ACRES LLC 534 S Farish St Jackson  MS 39201 Greenman Gardens 1881 US Hwy 63 West Plains  MO 65775
29_R00364  29_P00365,FORTYTEXAS.COM,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0838048  0838042,
0835308  0835311,Diamond Cut Hemp,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0833672  0833676,
DELTA REMEDIES LLC,Hemp,,,Hemp,,,Hemp Distributor  Hemp Cultivator,29_P00352  29_R00351,
CRAFT HERBS FARM,CRAFT HERBS,,,Hemp,,,Hemp Distributor  Hemp Cultivator,# 103827  00377H,
0833672  0833676,CanaMO Solutions,,,Hemp,,,Hemp Distributor  Hemp Cultivator,0832702  0831344,
Page 8 of 37,BAMI LLC,,,Pending,,,Hemp Distributor  Cannabis Manufacturer  Cannabis Distributor  Broker Dealers  Hemp Retailer (Online)  Hemp Retailer (Delivery)  Cannabis Retailer (Online)  Cannabis Retailer (Delivery)  Hemp Brand  Events and Conferences  Cannabis Retailer (Storefront)  Hemp Retailer (Storefront)  Cannabis Brand  Cannabis Cultivator,SAS International Distribution,
0830058  0829874  0832964,AIRMID HEMP EXTRACTS,,,Verified,,,Manufacturer  Distributor,Hemp Distributor  Cannabis Manufacturer  Cannabis Brand  Hemp Retailer (Online)  Hemp Manufacturer  Hemp Brand,
Benessere,Pending,tpcprez@gmail.com,619-327-6666,Hemp,,,Hemp Distributor,381258,Best Bud
SAS International L.L.C.,Verified,,,Hemp,,,Hemp Distributor,396084,
CDPH-10004208  2020-N-1844419,ZUMA AND SONS DISTRIBUTORS CORP,,,Hemp,,,Hemp Distributor,378690,
381258,Zelle Hemp Company,,,Hemp,,,Hemp Distributor,0830774,
396084,YUKING INTERNATIONAL FOOD GROUP,,,Hemp,,,Hemp Distributor,394505,
378690,YOUNG BLACK MILLIONAIRES LLC,,,Hemp,,,Hemp Distributor,392451,
0830774,YOBI LABS,,,Hemp,,,Hemp Distributor,003HKC,
394505,XPRESSION OF AWARENESS INC,,,Hemp,,,Hemp Distributor,396959,
392451,Xpedite Partners Ltd,,,Hemp,,,Hemp Distributor,001HX5,
003HKC,WPS Distribution LLC,,,Hemp,,,Hemp Distributor,391700,
396959,WLD Ag Solutions,,,Hemp,,,Hemp Distributor,0836056,
Wild West Munchies,Hemp,,,Hemp,,,Hemp Distributor,WI Hemp Distributor 0004,
391700,WILDSEED HEMP  LLC.,,,Hemp,,,Hemp Distributor,WI Hemp Distributor 0003,
Hemp Distributor,0836056,,,Hemp,,,Hemp Distributor,003HD3,
Roshambo Enterprises,Whiskey Sisters Supply,,,Hemp,,,Hemp Distributor,390708,
001PQB,West Worldwide LLC,,,Pending,,,Hemp Distributor,392884,
278246  299735  311327  383929  389599  389598  59101,WAKE UP AMERICA,,,Hemp,,,Hemp Distributor,465120,
335928,VPR BRANDS,,,Hemp,,,Hemp Distributor,393806,
392884,VITAMIN DISCOUNT CENTER WAREHOUSE,,,Hemp,,,Hemp Distributor,394681,
465120,Virag Distribution  LLC,,,Hemp,,,Hemp Distributor,003J9M,
Vinilus,Hemp,,,Hemp,,,Hemp Distributor,VERDANT BOTANICAL DISTRIBUTION LLC,
394681,Verum Botanical,,,Hemp,,,Hemp Distributor,0829883,
003J9M,Vermont Hemp Storage,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0044,
VA Hemp Distributor 0047,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0043,
VA Hemp Distributor 0046,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0042,
VA Hemp Distributor 0045,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0041,
VA Hemp Distributor 0044,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0040,
VA Hemp Distributor 0043,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0039,
VA Hemp Distributor 0042,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0038,
VA Hemp Distributor 0041,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0037,
VA Hemp Distributor 0040,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0036,
VA Hemp Distributor 0039,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0035,
VA Hemp Distributor 0038,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0034,
VA Hemp Distributor 0037,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0033,
VA Hemp Distributor 0036,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0032,
VA Hemp Distributor 0035,Hemp,,,Hemp,,,Hemp Distributor,VA Hemp Distributor 0031,
VA Hemp Distributor 0034,Hemp,,,Hemp,,,Hemp Distributor,US Crop Drying LLC,
VA Hemp Distributor 0033,Hemp,,,Hemp,,,Hemp Distributor,usa vape wholesale,
VA Hemp Distributor 0032,Hemp,,,Hemp,,,Hemp Distributor,395816,
399992,Hammer's HealTHCare,,,Hemp,,,Hemp Distributor,278012,
395816,UNITED WHOLESALE DISTRIBUTORS OF MELBOURNE,,,Hemp,,,Hemp Distributor,316927,
307160,UNITED WHOLESALE DISTRIBUTORS INC,,,Hemp,,,Hemp Distributor,394850,
278012,UNITED WHOLESALE DISTRIBUTION,,,Hemp,,,Hemp Distributor,27409,
316927,United Sacrament Organization Corp,,,Hemp,,,Hemp Distributor,27341,
394850,Unique Brokerage & Consulting,,,Hemp,,,Hemp Distributor,0829896,
0839800,TX Hemp Distributor 2020 0074,,,Hemp,,,Hemp Distributor,0838238,
0832409,TX Hemp Distributor 2020 0073,,,Hemp,,,Hemp Distributor,0839320,
0829896,TX Hemp Distributor 2020 0072,,,Hemp,,,Hemp Distributor,0829897,
0838238,TX Hemp Distributor 2020 0071,,,Hemp,,,Hemp Distributor,0833099,
0839320,TX Hemp Distributor 2020 0070,,,Hemp,,,Hemp Distributor,0832163,
0829897,TX Hemp Distributor 2020 0069,,,Hemp,,,Hemp Distributor,0833741,
0833099,TX Hemp Distributor 2020 0068,,,Hemp,,,Hemp Distributor,0835886,
0832163,TX Hemp Distributor 2020 0067,,,Hemp,,,Hemp Distributor,0833739,
0833741,TX Hemp Distributor 2020 0066,,,Hemp,,,Hemp Distributor,0829899,
0835886,TX Hemp Distributor 2020 0065,,,Hemp,,,Hemp Distributor,0837006,
0833739,TX Hemp Distributor 2020 0064,,,Hemp,,,Hemp Distributor,0832971,
0829899,TX Hemp Distributor 2020 0063,,,Hemp,,,Hemp Distributor,0836805,
0837006,TX Hemp Distributor 2020 0062,,,Hemp,,,Hemp Distributor,0833857,
0832971,TX Hemp Distributor 2020 0061,,,Hemp,,,Hemp Distributor,0832985,
0836805,TX Hemp Distributor 2020 0060,,,Hemp,,,Hemp Distributor,0831096,
0833857,TX Hemp Distributor 2020 0059,,,Hemp,,,Hemp Distributor,0833858,
0832985,TX Hemp Distributor 2020 0058,,,Hemp,,,Hemp Distributor,0836418,
0831096,TX Hemp Distributor 2020 0057,,,Hemp,,,Hemp Distributor,0829898,
0833858,TX Hemp Distributor 2020 0056,,,Hemp,,,Hemp Distributor,0832134,
0836418,TX Hemp Distributor 2020 0055,,,Hemp,,,Hemp Distributor,0830552,
0829898,TX Hemp Distributor 2020 0054,,,Hemp,,,Hemp Distributor,0838462,
0832134,TX Hemp Distributor 2020 0053,,,Hemp,,,Hemp Distributor,0839385,
0830552,TX Hemp Distributor 2020 0052,,,Hemp,,,Hemp Distributor,0829895,
0838462,TX Hemp Distributor 2020 0051,,,Hemp,,,Hemp Distributor,0838051,
0839385,TX Hemp Distributor 2020 0050,,,Hemp,,,Hemp Distributor,0836238,
0829895,TX Hemp Distributor 2020 0049,,,Hemp,,,Hemp Distributor,0838237,
0838051,TX Hemp Distributor 2020 0048,,,Hemp,,,Hemp Distributor,0839156,
0836238,TX Hemp Distributor 2020 0047,,,Hemp,,,Hemp Distributor,0839704,
0838237,TX Hemp Distributor 2020 0046,,,Hemp,,,Hemp Distributor,0832590,
0839156,TX Hemp Distributor 2020 0045,,,Hemp,,,Hemp Distributor,0838245,
0839704,TX Hemp Distributor 2020 0044,,,Hemp,,,Hemp Distributor,0838154,
0832590,TX Hemp Distributor 2020 0043,,,Hemp,,,Hemp Distributor,0837946,
0838245,TX Hemp Distributor 2020 0042,,,Hemp,,,Hemp Distributor,0834045,
0838154,TX Hemp Distributor 2020 0041,,,Hemp,,,Hemp Distributor,0833101,
0837946,TX Hemp Distributor 2020 0040,,,Hemp,,,Hemp Distributor,0835302,
0834045,TX Hemp Distributor 2020 0039,,,Hemp,,,Hemp Distributor,0831910,
Page 9 of 37,TX Hemp Distributor 2020 0036,,,Hemp,,,Hemp Distributor,0832162,
0832825,TX Hemp Distributor 2020 0035,,,Hemp,,,Hemp Distributor,0837694,
0831910,TX Hemp Distributor 2020 0034,,,Hemp,,,Hemp Distributor,0829904,
0832162,TX Hemp Distributor 2020 0033,,,Hemp,,,Hemp Distributor,0838379,
0837694,TX Hemp Distributor 2020 0032,,,Hemp,,,Hemp Distributor,0836890,
0829904,TX Hemp Distributor 2020 0031,,,Hemp,,,Hemp Distributor,0831452,
0838379,TX Hemp Distributor 2020 0030,,,Hemp,,,Hemp Distributor,0836338,
0836890,TX Hemp Distributor 2020 0029,,,Hemp,,,Hemp Distributor,0836419,
0831452,TX Hemp Distributor 2020 0028,,,Hemp,,,Hemp Distributor,0835218,
0836338,TX Hemp Distributor 2020 0027,,,Hemp,,,Hemp Distributor,0836316,
0836419,TX Hemp Distributor 2020 0026,,,Hemp,,,Hemp Distributor,0834138,
0835218,TX Hemp Distributor 2020 0025,,,Hemp,,,Hemp Distributor,0836237,
0836316,TX Hemp Distributor 2020 0024,,,Hemp,,,Hemp Distributor,0836058,
0834138,TX Hemp Distributor 2020 0023,,,Hemp,,,Hemp Distributor,0839705,
0836237,TX Hemp Distributor 2020 0022,,,Hemp,,,Hemp Distributor,0831909,
0836058,TX Hemp Distributor 2020 0021,,,Hemp,,,Hemp Distributor,0839619,
0839705,TX Hemp Distributor 2020 0020,,,Hemp,,,Hemp Distributor,0838233,
0831909,TX Hemp Distributor 2020 0019,,,Hemp,,,Hemp Distributor,0831769,
0839619,TX Hemp Distributor 2020 0018,,,Hemp,,,Hemp Distributor,0836520,
0838233,TX Hemp Distributor 2020 0017,,,Hemp,,,Hemp Distributor,0836144,
0831769,TX Hemp Distributor 2020 0016,,,Hemp,,,Hemp Distributor,0829894,
0836520,TX Hemp Distributor 2020 0015,,,Hemp,,,Hemp Distributor,0831770,
0836144,TX Hemp Distributor 2020 0014,,,Hemp,,,Hemp Distributor,0833100,
0829894,TX Hemp Distributor 2020 0013,,,Hemp,,,Hemp Distributor,0829858,
0831770,TX Hemp Distributor 2020 0012,,,Hemp,,,Hemp Distributor,0829892,
0833100,TX Hemp Distributor 2020 0011,,,Hemp,,,Hemp Distributor,0833677,
0829858,TX Hemp Distributor 2020 0010,,,Hemp,,,Hemp Distributor,0829901,
0829892,TX Hemp Distributor 2020 0009,,,Hemp,,,Hemp Distributor,0830551,
0833677,TX Hemp Distributor 2020 0008,,,Hemp,,,Hemp Distributor,0834976,
0829901,TX Hemp Distributor 2020 0007,,,Hemp,,,Hemp Distributor,0829889,
0830551,TX Hemp Distributor 2020 0006,,,Hemp,,,Hemp Distributor,0839027,
0834976,TX Hemp Distributor 2020 0005,,,Hemp,,,Hemp Distributor,0829903,
0829889,TX Hemp Distributor 2020 0004,,,Hemp,,,Hemp Distributor,0829902,
0839027,TX Hemp Distributor 2020 0003,,,Hemp,,,Hemp Distributor,0838832,
0829903,TX Hemp Distributor 2020 0002,,,Hemp,,,Hemp Distributor,101223,
003HW5,TROYER'S OF SOUTH FLORIDA,,,Hemp,,,Hemp Distributor,381849,
351987,TROPICAL DELIGHT DAQUIRIS INC,,,Hemp,,,Hemp Distributor,003DF2,
101223,TROPICAL BOTTLING CORP,,,Hemp,,,Hemp Distributor,0838296,
381849,Trinity Advance Service  LLC,,,Hemp,,,Hemp Distributor,31-MFP19-0000752,
003DF2,TOSS IT UP,,,Hemp,,,Hemp Distributor,398951,
22_1100003,The Reliable Company  LLC,,,Hemp,,,Hemp Distributor,255309,
394421,Therapeutic ReLeaf  LLC,,,Hemp,,,Hemp Distributor,391182,
391736,THE GARDEN OF HEMPS,,,Hemp,,,Hemp Distributor,359384,
0837751,The Fulfillment Alliance,,,Hemp,,,Hemp Distributor,003JBQ,
391182,THE C STORE DEPOT,,,Hemp,,,Hemp Distributor,395552,
359384,The Colorado Connect LLC,,,Hemp,,,Hemp Distributor,0838830,
003HBH,TEXAS SAVAGE HEMP DISTRIBUTION LLC,,,Hemp,,,Hemp Distributor,399032,
0829877,TEXAGON  LLC,,,Hemp,,,Hemp Distributor,399065,
0838830,TAJ WHOLESALE,,,Hemp,,,Hemp Distributor,251556,
399032,TADA FARMS,,,Hemp,,,Hemp Distributor,51304,
399065,SYSCO SOUTHEAST FLORIDA LLC,,,Hemp,,,Hemp Distributor,101517,
251556,SYSCO JACKSONVILLE INC,,,Hemp,,,Hemp Distributor,391584,
390871,SUNSHINE NOVELTY,,,Hemp,,,Hemp Distributor,392161,
394715,SUNSET NOVELTIES INC,,,Hemp,,,Hemp Distributor,0834784,
391584,Sunflora  LLC,,,Hemp,,,Hemp Distributor,392032  392101,
392161,STONE COLD HEMP,,,Hemp,,,Hemp Distributor,392054  391739  391858  391927,
0834784,Stoked  LLC,,,Hemp,,,Hemp Distributor,391240,
392032  392101,Stoked LLC,,,Hemp,,,Hemp Distributor,393696,
0037X4,SOUTHERN WINE AND SPIRITS OF FLORIDA,,,Hemp,,,Hemp Distributor,268758,
329333,SOUTHERN WHOLESALE OF FLORIDA LLC,,,Hemp,,,Hemp Distributor,385865,
393696,SOUTHERN EAGLE DISTRIBUTING,,,Hemp,,,Hemp Distributor,383803,
268758,SOUTHEAST WHOLESALE FOODS LLC,,,Hemp,,,Hemp Distributor,0829887,
385865,SOUTHEAST TOBACCO DISTRIBUTORS INC,,,Hemp,,,Hemp Distributor,392008,
383803,SOL CANYON  LLC,,,Hemp,,,Hemp Distributor,Hemp Sail,
0829887,Solarvit Natural LLC,,,Hemp,,,Hemp Distributor,Medix Wellness LLC,
MG distribution 31,Hemp,,,Hemp,,,Hemp Distributor,37109,
390636,Medical Technology Products  Inc.,,,Hemp,,,Hemp Distributor,386601,
390634,McLane/Suneast,,,Hemp,,,Hemp Distributor,22_1100043,
37109,MCLANE OCALA,,,Hemp,,,Hemp Distributor,393601,
386601,MCCRAY SERVICE GROUP LLC,,,Hemp,,,Hemp Distributor,391954,
22_1100043,Maxxam CBD,,,Hemp,,,Hemp Distributor,390739,
393601,Master Industries,,,Hemp,,,Hemp Distributor,0832161,
391954,MAS500  INC,,,Hemp,,,Hemp Distributor,250912,
MAJEMAC ENTERPRISES INC,Hemp,cbdavei17@gmail.com mcash911@gmail.com MAJEMAC@KNOLOGY.NET,2545771890 909 499 6201 2547159052 727-797-8806,Hemp,TRU PURA CBD TRU PURA CBD TRU PURA CBD MANNACBD TRU PURA CBD MANNACBD TRU PURA CBD MANNACBD MANNACBD MANNÁ MANNACBD MANNÁ MANZZA BIO LABS MANNACBD MANNÁ MANZZA BIO LABS MANNACBD MANNÁ MANZZA BIO LABS MANZZA BIO LABS MARCH FARMS COASTAL CALIFORNIA HEMP ASSOCIATION MANZZA BIO LABS MARCH FARMS COASTAL CALIFORNIA HEMP ASSOCIATION,,Hemp Distributor,003F6V,MAHA KALI WELLNESS Ma' Hua Maia Farm Supply Mal & Boots Hemp Farm LLC MAGSTAR 503 Selma St Richland Springs  TX 76871 MAGU MAIDEN FARMS LLC 24930 Washington Ave  #463 Murrieta  CA 92562 mannaCBD 926 Windemar Dr Ashland  OR 97520 Mannastore 6014 S Western St  200 Amarillo  TX 79110 MANSA MUSA HEMP LLC Manzza Bio Labs LLC 1101 Old Coachman Rd. Clearwater  FL 33765 MARCH FARMS LLC Marex llc Mar Hemp Brokers
MACKOUL DISTRIBUTORS INC # 0002,Hemp,jermainewilliams.suaap@gmail.com adamm@mackoul.net,321-460-9698 3037255314 904-741-5515,Hemp,,,Hemp Distributor,22_1100097,Luxe CBD 900 Fox Valley Dr  Suite 209 Longwood  FL 32779 Lux Templum  llc 1499 Blake St Denver  CO 80202 Magic Hollow Hemp Co.  LLC. 13350 International Pkwy Jacksonville  FL 32218
American Hemp Seed,Macan LLC,,,Hemp,,,Hemp Distributor,003JF9,
003F6V,MAB&S TRANSPORT,,,Hemp,,,Hemp Distributor,395411,
22_1100097,M3 Life Sciences,,,Hemp,,,Hemp Distributor,0033YW,
003JF9,Lyfe Medi LLC,,,Hemp,,,Hemp Distributor,400913,
395411,Lux Templum  llc,,,Hemp,,,Hemp Distributor,0838762,
0033YW,Luxe CBD,,,Hemp,,,Hemp Distributor,391239,
395105,LOGISTICAL WAREHOUSING,,,Hemp,,,Hemp Distributor,395291,
396452,Life source distributors inc,,,Hemp,,,Hemp Distributor,0832824,
391239,Life Express Vitamins & Supplements LLC,,,Hemp,,,Hemp Distributor,0835981,
395291,LEGAL LOUD LLC,,,Hemp,,,Hemp Distributor,22_1100075,
388333,LA Hemp Distributor 0004,,,Hemp,,,Hemp Distributor,22_1100049,
22_1100071,LA Hemp Distributor 0003,,,Hemp,,,Hemp Distributor,22_1100096,
